c_std_hi,c_mean_hi,contribution_hi,lengths_hi,bins_hi,weights_hi,relweights_hi,c_std_lo,c_mean_lo,contribution_lo,lengths_lo,bins_lo,weights_lo,relweights_lo
,,,39.00700887924722,,,,,,,84.0150960476094,,,
,,,86.01545547731439,,,,,,,19.003414582197365,,,
,,,12.002156578229915,,,,,,,16.002875437639887,,,
,,,252.0452881428282,,,,,,,7.00125800396745,,,
,,,6.001078289114957,,,,,,,81.01455690305193,,,
,,,4.000718859409972,,,,,,,35.75642480597662,,,
,,,9.001617433672436,,,,,,,25.004492871312323,,,
,,,7.071499632805303,,,,,,,111.01994834862671,,,
,,,32.175323329264124,,,,,,,64.01150175055955,,,
,,,99.00099485927424,,,,,,,45.00808716836218,,,
,,,24.396673733178293,,,,,,,68.01222060996952,,,
,,,96.52596998779238,,,,,,,12.002156578229915,,,
,,,18.73947402693405,,,,,,,59.01060317629708,,,
,,,2.475024871481856,,,,,,,26.004672586164816,,,
,,,18.73947402693405,,,,,,,97.01743234069181,,,
,,,14.0025160079349,,,,,,,9.001617433672436,,,
,,,36.006469734689745,,,,,,,58.01042346144459,,,
,,,22.003953726754844,,,,,,,19.446623990214583,,,
