R,pdf,cdf,satn,bin_centers,bin_edges,bin_widths,average-pore-size
543.8093645,0,0,0,543.8093645,542.8060201,2.006688963,
545.8160535,0,0,0,545.8160535,544.812709,2.006688963,
547.8227425,0,0,0,547.8227425,546.819398,2.006688963,
549.8294314,0,0,0,549.8294314,548.826087,2.006688963,
551.8361204,0,0,0,551.8361204,550.8327759,2.006688963,
553.8428094,0,0,0,553.8428094,552.8394649,2.006688963,
555.8494983,0,0,0,555.8494983,554.8461538,2.006688963,
557.8561873,0,0,0,557.8561873,556.8528428,2.006688963,
559.8628763,0,0,0,559.8628763,558.8595318,2.006688963,
561.8695652,0,0,0,561.8695652,560.8662207,2.006688963,
563.8762542,0,0,0,563.8762542,562.8729097,2.006688963,
565.8829431,0,0,0,565.8829431,564.8795987,2.006688963,
567.8896321,0,0,0,567.8896321,566.8862876,2.006688963,
569.8963211,0,0,0,569.8963211,568.8929766,2.006688963,
571.90301,0,0,0,571.90301,570.8996656,2.006688963,
573.909699,0,0,0,573.909699,572.9063545,2.006688963,
575.916388,0,0,0,575.916388,574.9130435,2.006688963,
577.9230769,0,0,0,577.9230769,576.9197324,2.006688963,
579.9297659,0,0,0,579.9297659,578.9264214,2.006688963,
581.9364548,0,0,0,581.9364548,580.9331104,2.006688963,
583.9431438,0,0,0,583.9431438,582.9397993,2.006688963,
585.9498328,0,0,0,585.9498328,584.9464883,2.006688963,
587.9565217,0,0,0,587.9565217,586.9531773,2.006688963,
589.9632107,0,0,0,589.9632107,588.9598662,2.006688963,
591.9698997,0,0,0,591.9698997,590.9665552,2.006688963,
593.9765886,0,0,0,593.9765886,592.9732441,2.006688963,
595.9832776,0,0,0,595.9832776,594.9799331,2.006688963,
597.9899666,0,0,0,597.9899666,596.9866221,2.006688963,
599.9966555,0,0,0,599.9966555,598.993311,2.006688963,
